"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Grayson Allen","Pho","G","28.5","71","33.6","14.4","12.5","139","0.878","220","0.568","421","0.466","0.654","0.684","13.5","3.9","3.1","0.9","0.6","1.3","17.4","16.6","20.5","6.5","130.2","113.3"
"","Rui Hachimura","Lal","F","26.2","65","26.6","18.4","6.4","128","0.727","420","0.602","218","0.427","0.615","0.632","13.5","4.2","1.1","0.6","0.4","0.7","17.7","14.6","18.8","6","121.7","112.9"
"","Cameron Johnson","Bro","F","28.1","57","27.6","19.6","8.3","105","0.781","262","0.515","349","0.393","0.557","0.58","13.4","4.4","2.4","0.8","0.3","1","17.7","15.8","20.1","7.6","118.2","113.3"
"","GG Jackson","Mem","F","19.3","44","24.7","23.2","11.2","136","0.75","224","0.509","242","0.36","0.525","0.562","13.4","4","1.2","0.5","0.5","1.3","17.5","14.6","18.7","6.5","107.7","114.2"
"","Marvin Bagley III","Was","F","25.1","24","24","20.9","11.7","65","0.708","210","0.59","17","0.471","0.599","0.622","13.3","8","1.2","0.6","0.8","1.3","21.3","14.4","22.5","8.4","122.5","114.8"
"","Corey Kispert","Was","F","25.1","77","25.4","19.6","11","151","0.722","299","0.645","454","0.381","0.601","0.619","13.2","2.8","1.8","0.5","0.2","1.2","15.9","14.9","17.7","6.4","113.3","118.1"
"","Andrew Wiggins","Gol","F","29.1","67","27","20.6","10","171","0.743","499","0.495","232","0.358","0.508","0.54","13","4.5","1.7","0.6","0.5","1.2","17.5","14.7","19.2","6.9","110.9","112.3"
"","Duncan Robinson","Mia","F","30","68","28","18.9","12.3","90","0.889","202","0.579","473","0.395","0.589","0.612","12.9","2.5","2.8","0.7","0.2","1.4","15.4","15.7","18.2","6.4","114.7","107.9"
"","Dillon Brooks","Hou","F","28.2","69","31","17.6","10.3","145","0.841","378","0.495","356","0.362","0.518","0.553","12.8","3.4","1.7","0.9","0.1","1.2","16.2","14.5","17.8","5.4","109.5","107.7"
"","Keyonte George","Uta","G","20.4","71","26.9","22.5","18.4","214","0.855","352","0.452","412","0.33","0.475","0.53","12.8","2.8","4.5","0.5","0.1","2.4","15.6","17.3","20.1","8.1","104.8","120.9"
"","Mark Williams","Cha","C","22.3","19","26.8","17","10.1","64","0.719","151","0.649","0","0","0.649","0.675","12.7","9.7","1.2","0.8","1.1","0.9","22.4","13.9","23.6","7.9","137.2","109.9"
"","Jrue Holiday","Bos","G","33.8","67","32.9","16.2","15.2","72","0.833","357","0.527","312","0.433","0.584","0.6","12.6","5.4","4.9","0.9","0.7","1.8","17.9","17.4","22.8","8.4","121.7","110.4"
"","Alec Burks","Det","G","32.7","43","20.9","23.5","7.3","134","0.903","159","0.384","247","0.401","0.516","0.581","12.6","2.6","1.6","0.5","0.3","0.7","15.1","14.1","16.7","7.2","118.5","116.1"
"","Spencer Dinwiddie","Bro","G","31","48","30.7","18.5","11","160","0.781","221","0.48","278","0.32","0.48","0.53","12.6","3.3","6","0.8","0.2","1.3","15.9","18.6","21.9","8.2","118.6","115.2"
"","Kelly Olynyk","Tor","F-C","33","25","26.3","20.1","22.3","73","0.808","149","0.638","67","0.328","0.593","0.635","12.6","5.3","4.6","1.4","0.7","2.5","17.9","17.2","22.6","10.3","117","105.9"
"","Brook Lopez","Mil","C","36","75","30.7","15.8","9.7","129","0.822","333","0.625","380","0.363","0.582","0.608","12.5","5.3","1.6","0.6","2.4","1","17.7","14.1","19.4","6.2","120.4","111.4"
"","Jonas Valanciunas","Nor","C","31.9","78","23.7","20.6","13.1","195","0.795","571","0.613","116","0.319","0.59","0.625","12.4","8.9","2.1","0.4","0.9","1.3","21.3","14.5","23.4","10.4","124","100.9"
"","Josh Giddey","Okc","G","21.5","77","25.2","23","16.1","118","0.797","588","0.527","232","0.345","0.524","0.547","12.4","6.4","4.8","0.6","0.5","2.1","18.8","17.2","23.6","11.5","111.6","110.6"
"","Jalen Suggs","Orl","G","22.8","71","26.9","19.8","16","137","0.759","309","0.547","366","0.399","0.575","0.598","12.4","3.1","2.7","1.4","0.6","1.8","15.5","15.1","18.2","7","111.8","103.6"
